"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping for EU DispenseData to EU-MedicationDispense","Mapping: Mapping for EU MedicationData to GEM_ERPEU_PR_Medication","Mapping: Mapping for EU DispenseData to EU-Organization","Mapping: Mapping for EU DispenseData to EU-Practitioner","Mapping: RIM Mapping"
"logical-eu-dispense-data","logical-eu-dispense-data","","","",0,*,"","","","null {[]} {[]}
","Dispense Data from EU","Logical Information that is Provided in the dispensation document by the NCPeH of country B for Dispensing Medication","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"logical-eu-dispense-data.id","logical-eu-dispense-data.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"logical-eu-dispense-data.extension","logical-eu-dispense-data.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a","N/A"
"logical-eu-dispense-data.PatientData","logical-eu-dispense-data.PatientData","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient Data","Patient Data","","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.PatientData",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","GEM_ERPEU_PR_MedicationDispense"
"logical-eu-dispense-data.PatientData.id","logical-eu-dispense-data.PatientData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"logical-eu-dispense-data.PatientData.extension","logical-eu-dispense-data.PatientData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"logical-eu-dispense-data.PatientData.modifierExtension","logical-eu-dispense-data.PatientData.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a","N/A"
"logical-eu-dispense-data.PatientData.RegionalNationalHealthIdentifier","logical-eu-dispense-data.PatientData.RegionalNationalHealthIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Regional/National Health Identifier (KVNR)","If the patient has a regional or national Health Identification. This field is required by some national laws.","Angabe aus einem der dargestellten CDA Felder wird unter der angegebenen Element ID des FHIR Profils Dispensation of the Prescription (GEM_ERPEU_PR_MedicationDispense) eingetragen. Als einziges Merkmal zu den PatientInnen soll die KVID eingetragen werden, da hierüber jede gesetzlich versicherte Person eindeutig identifizierbar ist.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.PatientData.RegionalNationalHealthIdentifier",1,1,"","","MedicationDispense.subject.identifier"
"logical-eu-dispense-data.HealthCareProfessionalData","logical-eu-dispense-data.HealthCareProfessionalData","","","",1,1,"","","","BackboneElement {[]} {[]}
","HealthCareProfessional Data","HealthCareProfessional Data","ehdsi-dataelement-299 Family Name/Surname. Der Nachname der die Medikation abgebenden Person wird aus dem dargestellten CDA Feld unter der angegebenen Element Ids des Profils GEM_ERPEU_PR_Practitioner eingetragen. (Achtung: Da aus der EU nur ein Datenfeld kommt, entfallen Sonderfelder für Präfixe und Suffixe)","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.HealthCareProfessionalData",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","GEM_ERPEU_PR_Practitioner"
"logical-eu-dispense-data.HealthCareProfessionalData.id","logical-eu-dispense-data.HealthCareProfessionalData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"logical-eu-dispense-data.HealthCareProfessionalData.extension","logical-eu-dispense-data.HealthCareProfessionalData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"logical-eu-dispense-data.HealthCareProfessionalData.modifierExtension","logical-eu-dispense-data.HealthCareProfessionalData.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a","N/A"
"logical-eu-dispense-data.HealthCareProfessionalData.HPIdentifier","logical-eu-dispense-data.HealthCareProfessionalData.HPIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","HP Identifier","The identification of the person as Health Professional.","Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Practitioner eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.HealthCareProfessionalData.HPIdentifier",1,1,"","","Practitioner.identifier"
"logical-eu-dispense-data.HealthCareProfessionalData.GivenName","logical-eu-dispense-data.HealthCareProfessionalData.GivenName","","","",1,*,"","","","string {[]} {[]}
","Given Name","The name of the HP dispensing the medicine to the patient. This field can contain more than one element.","ehdsi-dataelement-300 Given Name. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Practitioner eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.HealthCareProfessionalData.GivenName",1,*,"","","Practitioner.name.given"
"logical-eu-dispense-data.HealthCareProfessionalData.FamilyNameSurname","logical-eu-dispense-data.HealthCareProfessionalData.FamilyNameSurname","","","",1,*,"","","","string {[]} {[]}
","Family Name/Surname","The surname/s of the HP dispensing the medicine to the patient. This field can contain more than one element.","","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.HealthCareProfessionalData.FamilyNameSurname",1,*,"","","Practitioner.family"
"logical-eu-dispense-data.OrganizationData","logical-eu-dispense-data.OrganizationData","","","",1,1,"","","","BackboneElement {[]} {[]}
","Organization Data","Organization Data","","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","GEM_ERPEU_PR_Organization"
"logical-eu-dispense-data.OrganizationData.id","logical-eu-dispense-data.OrganizationData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"logical-eu-dispense-data.OrganizationData.extension","logical-eu-dispense-data.OrganizationData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"logical-eu-dispense-data.OrganizationData.modifierExtension","logical-eu-dispense-data.OrganizationData.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a","N/A"
"logical-eu-dispense-data.OrganizationData.FacilityIdentifier","logical-eu-dispense-data.OrganizationData.FacilityIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Facility (Pharmacy) Identifier","The identification of the facility (pharmacy) from where the HP is dispensing the medicine.","Der Identifier des abgebenden Unternehmens wird aus dem angegebenen CDA Feld in die angegebenen Element Id des Profils GEM_ERPEU_PR_Organization übermittelt. Angaben mehrerer Identifier ist möglich.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.FacilityIdentifier",1,1,"","","Organization.identifier"
"logical-eu-dispense-data.OrganizationData.OrganizationIdentifier","logical-eu-dispense-data.OrganizationData.OrganizationIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Organization Identifier","The identification of the healthcare provider organization of the HP dispensing the medicine.","ehdsi-dataelement-285 Organization Identifier. (Achtung wir werden vermutlich im neu erstellten EU Profil sowohl die Möglichkeit einen Facility als auch einen Organisation Identifier abzubilden - FHIR Grundprofil lässt dies zu)","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.OrganizationIdentifier",1,1,"","","Organization.identifier"
"logical-eu-dispense-data.OrganizationData.OrganizationName","logical-eu-dispense-data.OrganizationData.OrganizationName","","","",1,1,"","","","string {[]} {[]}
","Organization Name","The name of the healthcare provider organization of the HP dispensing the medicine.","ehdsi-dataelement-286 Organization Name. Der Name der Organisation, die die Medikation abgibt wird aus dem dargestellten CDA Feld unter der angegebenen Element Ids des Profils GEM_ERPEU_PR_Organization eingetragen. (Achtung: HL7 Grundprofil lässt nur einen Organisationsnamen zu deshalb diesen und nicht Facility name gewählt)","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.OrganizationName",1,1,"","","Organization.name"
"logical-eu-dispense-data.OrganizationData.StreetAddress","logical-eu-dispense-data.OrganizationData.StreetAddress","","","",1,1,"","","","string {[]} {[]}
","Street address","The street of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-293 Street address. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.StreetAddress",1,1,"","","Organization.address.line"
"logical-eu-dispense-data.OrganizationData.City","logical-eu-dispense-data.OrganizationData.City","","","",1,1,"","","","string {[]} {[]}
","City","The city of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-292 City. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.City",1,1,"","","Organization.address.city"
"logical-eu-dispense-data.OrganizationData.ZipOrPostalCode","logical-eu-dispense-data.OrganizationData.ZipOrPostalCode","","","",1,1,"","","","string {[]} {[]}
","Zip or Postal Code","The postal code of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-291 Zip or Postal Code. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.ZipOrPostalCode",1,1,"","","Organization.address.postalCode"
"logical-eu-dispense-data.OrganizationData.StateOrProvince","logical-eu-dispense-data.OrganizationData.StateOrProvince","","","",1,1,"","","","string {[]} {[]}
","State or Province","The province of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-290 State or Province. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.StateOrProvince",1,1,"","","Organization.address.state"
"logical-eu-dispense-data.OrganizationData.Country","logical-eu-dispense-data.OrganizationData.Country","","","",1,1,"","","","string {[]} {[]}
","Country","The country where the pharmacy is located.","ehdsi-dataelement-289 Country. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.Country",1,1,"","","Organization.address.country"
"logical-eu-dispense-data.DispenseData","logical-eu-dispense-data.DispenseData","","","",1,*,"","","","BackboneElement {[]} {[]}
","Dispense Data","Dispense Data","","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.DispenseData",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","GEM_ERPEU_PR_MedicationDispense","GEM_ERPEU_PR_MedicationDispense"
"logical-eu-dispense-data.DispenseData.id","logical-eu-dispense-data.DispenseData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
